Air Quality,Temperature,Humidity,Flame
187.0,24.0,61.0,Not Detected
164.0,24.0,61.0,Not Detected
143.0,24.0,61.0,Not Detected
121.0,24.0,61.0,Not Detected
98.0,24.0,60.0,Not Detected
87.0,24.0,60.0,Not Detected
81.0,24.0,60.0,Not Detected
76.0,24.0,60.0,Not Detected
73.0,24.0,60.0,Not Detected
72.0,24.0,60.0,Not Detected
74.0,24.0,60.0,Not Detected
70.0,24.0,61.0,Not Detected
66.0,24.0,61.0,Not Detected
72.0,24.0,61.0,Not Detected
66.0,24.0,61.0,Not Detected
64.0,24.0,61.0,Not Detected
64.0,24.0,61.0,Not Detected
67.0,24.0,61.0,Not Detected
63.0,24.0,61.0,Not Detected
62.0,24.0,61.0,Not Detected
62.0,24.0,61.0,Not Detected
69.0,24.0,61.0,Not Detected
68.0,24.0,61.0,Not Detected
55.0,24.0,61.0,Not Detected
65.0,24.0,61.0,Not Detected
62.0,24.0,61.0,Not Detected
60.0,24.0,61.0,Not Detected
59.0,24.0,61.0,Not Detected
65.0,24.0,61.0,Not Detected
59.0,24.0,61.0,Not Detected
55.0,24.0,61.0,Not Detected
61.0,24.0,61.0,Not Detected
63.0,24.0,61.0,Not Detected
66.0,24.0,61.0,Not Detected
62.0,24.0,61.0,Not Detected
59.0,24.0,61.0,Not Detected
59.0,24.0,61.0,Not Detected
62.0,24.0,61.0,Not Detected
59.0,24.0,61.0,Not Detected
63.0,24.0,61.0,Not Detected
60.0,24.0,60.0,Not Detected
63.0,24.0,60.0,Not Detected
64.0,24.0,60.0,Not Detected
61.0,24.0,60.0,Not Detected
65.0,24.0,60.0,Not Detected
58.0,24.0,60.0,Not Detected
59.0,24.0,60.0,Not Detected
